,index,Unnamed: 0,commonName,GPS,chi_eff,chirp_mass,chirp_mass_source,far,far_unit,mass_1_source,mass_2_source,network_matched_filter_snr,redshift,version,name,graceid,superevent,H1-strain,L1-strain,V1-strain,skymap
0,0,0,GW190408_181802,1238782700.3,-0.03,23.7,18.3,1e-05,1/yr,24.6,18.4,14.67360038139546,0.29,1,GW190408_181802-v1,S190408an,S190408an,True,True,True,True
1,1,1,GW190412,1239082262.2,0.25,15.2,13.3,1e-05,1/yr,30.1,8.3,18.86182683162956,0.15,3,GW190412-v3,S190412m,S190412m,True,True,True,True
2,2,2,GW190413_052954,1239168612.5,-0.01,39.4,24.6,0.0716832666370279,1/yr,34.7,23.7,8.555396161858269,0.59,1,GW190413_052954-v1,S190413i,S190413i,True,True,True,True
3,3,3,GW190413_134308,1239198206.7,-0.03,57.0,33.0,0.043657319879159,1/yr,47.5,31.8,9.030693020279005,0.71,1,GW190413_134308-v1,S190413ac,S190413ac,True,True,True,True
4,4,4,GW190421_213856,1239917954.3,-0.06,46.6,31.2,0.0007738314255311,1/yr,41.3,31.9,10.55069569549375,0.49,1,GW190421_213856-v1,S190421ar,S190421ar,True,True,False,True
5,8,8,GW190503_185404,1240944862.3,-0.03,38.6,30.2,1e-05,1/yr,43.3,28.4,12.09959960690361,0.27,1,GW190503_185404-v1,S190503bf,S190503bf,True,True,True,True
6,9,9,GW190512_180714,1241719652.4,0.03,18.6,14.6,1e-05,1/yr,23.3,12.6,12.26449406234808,0.27,1,GW190512_180714-v1,S190512at,S190512at,True,True,True,True
7,10,10,GW190513_205428,1241816086.8,0.11,29.5,21.6,1e-05,1/yr,35.7,18.0,12.28987773592599,0.37,1,GW190513_205428-v1,S190513bm,S190513bm,True,True,True,True
8,11,11,GW190514_065416,1241852074.8,-0.19,48.1,28.5,0.5266876793595081,1/yr,39.0,28.4,8.304493549646196,0.67,1,GW190514_065416-v1,S190514n,S190514n,True,True,False,True
9,12,12,GW190517_055101,1242107479.8,0.52,35.9,26.6,5.720513515363399e-05,1/yr,37.4,25.3,10.24122163775042,0.34,1,GW190517_055101-v1,S190517h,S190517h,True,True,True,True
10,13,13,GW190519_153544,1242315362.4,0.31,65.1,44.5,1e-05,1/yr,66.0,40.5,12.04985270704691,0.44,1,GW190519_153544-v1,S190519bj,S190519bj,True,True,True,True
11,14,14,GW190521,1242442967.4,0.03,114.8,69.2,0.0002039635028,1/yr,95.3,69.0,14.376046048896756,0.64,3,GW190521-v3,S190521g,S190521g,True,True,True,True
12,15,15,GW190521_074359,1242459857.5,0.09,39.8,32.1,1e-05,1/yr,42.2,32.8,24.38410871911596,0.24,1,GW190521_074359-v1,S190521r,S190521r,True,True,False,True
13,16,16,GW190527_092055,1242984073.8,0.11,34.9,24.3,0.0622703513141335,1/yr,36.5,22.6,8.867476217742222,0.44,1,GW190527_092055-v1,S190527w,S190527w,True,True,False,True
14,17,17,GW190602_175927,1243533585.1,0.07,72.9,49.1,1.1478437256536948e-05,1/yr,69.1,47.8,12.13087548611321,0.47,1,GW190602_175927-v1,S190602aq,S190602aq,True,True,True,True
15,18,18,GW190620_030421,1245035079.3,0.33,57.5,38.3,0.0029209383726319,1/yr,57.1,35.5,10.91846314686192,0.49,1,GW190620_030421-v1,S190620e,S190620e,False,True,True,True
16,19,19,GW190630_185205,1245955943.2,0.1,29.4,24.9,1e-05,1/yr,35.1,23.7,15.64051208963232,0.18,1,GW190630_185205-v1,S190630ag,S190630ag,False,True,True,True
17,20,20,GW190701_203306,1246048404.6,-0.07,55.5,40.3,0.0108613686053685,1/yr,53.9,40.8,11.58996006414267,0.37,1,GW190701_203306-v1,S190701ah,S190701ah,True,True,True,True
18,21,21,GW190706_222641,1246487219.3,0.28,75.1,42.7,1e-05,1/yr,67.0,38.2,12.34834506062684,0.71,1,GW190706_222641-v1,S190706ai,S190706ai,True,True,True,True
19,22,22,GW190707_093326,1246527224.2,-0.05,9.89,8.5,1e-05,1/yr,11.6,8.4,12.97817936002082,0.16,1,GW190707_093326-v1,S190707q,S190707q,True,True,False,True
20,25,25,GW190720_000836,1247616534.7,0.18,10.4,8.9,1e-05,1/yr,13.4,7.8,11.6960978153441,0.16,1,GW190720_000836-v1,S190720a,S190720a,True,True,True,True
21,26,26,GW190727_060333,1248242632.0,0.11,44.7,28.6,1e-05,1/yr,38.0,29.4,12.29941092425987,0.55,1,GW190727_060333-v1,S190727h,S190727h,True,True,True,True
22,27,27,GW190728_064510,1248331528.5,0.12,10.1,8.6,1e-05,1/yr,12.3,8.1,13.64274847591606,0.18,1,GW190728_064510-v1,S190728q,S190728q,True,True,True,True
23,28,28,GW190731_140936,1248617394.6,0.06,46.6,29.5,0.2058421231186779,1/yr,41.5,28.8,8.460146466288636,0.55,1,GW190731_140936-v1,S190731aa,S190731aa,True,True,False,True
24,31,31,GW190828_063405,1251009263.8,0.19,34.5,25.0,1e-05,1/yr,32.1,26.2,16.0359229190588,0.38,1,GW190828_063405-v1,S190828j,S190828j,True,True,True,True
25,32,32,GW190828_065509,1251010527.9,0.08,17.4,13.3,1e-05,1/yr,24.1,10.2,11.12790886853085,0.3,1,GW190828_065509-v1,S190828l,S190828l,True,True,True,True
26,35,35,GW190915_235702,1252627040.7,0.02,33.1,25.3,1e-05,1/yr,35.3,24.4,13.07209167194663,0.3,1,GW190915_235702-v1,S190915ak,S190915ak,True,True,True,True
27,36,36,GW190924_021846,1253326744.8,0.03,6.44,5.8,1e-05,1/yr,8.9,5.0,13.15903752184739,0.12,1,GW190924_021846-v1,S190924h,S190924h,True,True,True,True
28,37,37,GW190929_012149,1253755327.5,0.01,52.2,35.8,0.0201614435854915,1/yr,80.8,24.1,9.875628916044713,0.38,1,GW190929_012149-v1,S190929d,S190929d,True,True,True,True
29,38,38,GW190930_133541,1253885759.2,0.14,9.8,8.5,0.0330921980265922,1/yr,12.3,7.8,9.837638319153829,0.15,1,GW190930_133541-v1,S190930s,S190930s,True,True,False,True
